WEEK,COUNTRY,EVENT_TYPE,EVENTS,CENTROID_LATITUDE,CENTROID_LONGITUDE
02/25/2023,Russia,Explosions/Remote violence,2,50.6124,37.2397
03/25/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/01/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/08/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/15/2023,Russia,Explosions/Remote violence,3,50.6124,37.2397
04/22/2023,Russia,Explosions/Remote violence,4,50.6124,37.2397
04/29/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
05/06/2023,Russia,Explosions/Remote violence,2,50.6124,37.2397
05/13/2023,Russia,Explosions/Remote violence,2,50.6124,37.2397
05/20/2023,Russia,Explosions/Remote violence,18,50.6124,37.2397
05/27/2023,Russia,Explosions/Remote violence,4,50.6124,37.2397
06/03/2023,Russia,Explosions/Remote violence,12,50.6124,37.2397
06/10/2023,Russia,Explosions/Remote violence,8,50.6124,37.2397
06/17/2023,Russia,Explosions/Remote violence,8,50.6124,37.2397
06/24/2023,Russia,Explosions/Remote violence,7,50.6124,37.2397
07/01/2023,Russia,Explosions/Remote violence,7,50.6124,37.2397
07/08/2023,Russia,Explosions/Remote violence,4,50.6124,37.2397
07/15/2023,Russia,Explosions/Remote violence,11,50.6124,37.2397
07/22/2023,Russia,Explosions/Remote violence,14,50.6124,37.2397
07/29/2023,Russia,Explosions/Remote violence,7,50.6124,37.2397
08/05/2023,Russia,Explosions/Remote violence,3,50.6124,37.2397
08/12/2023,Russia,Explosions/Remote violence,14,50.6124,37.2397
08/19/2023,Russia,Explosions/Remote violence,20,50.6124,37.2397
08/26/2023,Russia,Explosions/Remote violence,3,50.6124,37.2397
09/02/2023,Russia,Explosions/Remote violence,15,50.6124,37.2397
09/09/2023,Russia,Explosions/Remote violence,18,50.6124,37.2397
09/16/2023,Russia,Explosions/Remote violence,22,50.6124,37.2397
09/23/2023,Russia,Explosions/Remote violence,15,50.6124,37.2397
09/30/2023,Russia,Explosions/Remote violence,18,50.6124,37.2397
10/07/2023,Russia,Explosions/Remote violence,20,50.6124,37.2397
10/14/2023,Russia,Explosions/Remote violence,24,50.6124,37.2397
10/21/2023,Russia,Explosions/Remote violence,13,50.6124,37.2397
10/28/2023,Russia,Explosions/Remote violence,16,50.6124,37.2397
11/04/2023,Russia,Explosions/Remote violence,10,50.6124,37.2397
11/11/2023,Russia,Explosions/Remote violence,14,50.6124,37.2397
11/18/2023,Russia,Explosions/Remote violence,11,50.6124,37.2397
11/25/2023,Russia,Explosions/Remote violence,13,50.6124,37.2397
12/02/2023,Russia,Explosions/Remote violence,20,50.6124,37.2397
12/09/2023,Russia,Explosions/Remote violence,12,50.6124,37.2397
12/16/2023,Russia,Explosions/Remote violence,17,50.6124,37.2397
12/23/2023,Russia,Explosions/Remote violence,28,50.6124,37.2397
12/30/2023,Russia,Explosions/Remote violence,25,50.6124,37.2397
01/06/2024,Russia,Explosions/Remote violence,26,50.6124,37.2397
01/13/2024,Russia,Explosions/Remote violence,38,50.6124,37.2397
01/20/2024,Russia,Explosions/Remote violence,39,50.6124,37.2397
01/27/2024,Russia,Explosions/Remote violence,54,50.6124,37.2397
02/03/2024,Russia,Explosions/Remote violence,21,50.6124,37.2397
02/10/2024,Russia,Explosions/Remote violence,24,50.6124,37.2397
02/17/2024,Russia,Explosions/Remote violence,29,50.6124,37.2397
02/24/2024,Russia,Explosions/Remote violence,30,50.6124,37.2397
03/02/2024,Russia,Explosions/Remote violence,27,50.6124,37.2397
03/09/2024,Russia,Explosions/Remote violence,53,50.6124,37.2397
03/16/2024,Russia,Explosions/Remote violence,41,50.6124,37.2397
03/23/2024,Russia,Explosions/Remote violence,53,50.6124,37.2397
03/30/2024,Russia,Explosions/Remote violence,45,50.6124,37.2397
04/06/2024,Russia,Explosions/Remote violence,56,50.6124,37.2397
04/13/2024,Russia,Explosions/Remote violence,51,50.6124,37.2397
04/20/2024,Russia,Explosions/Remote violence,43,50.6124,37.2397
04/27/2024,Russia,Explosions/Remote violence,56,50.6124,37.2397
05/04/2024,Russia,Explosions/Remote violence,91,50.6124,37.2397
05/11/2024,Russia,Explosions/Remote violence,85,50.6124,37.2397
05/18/2024,Russia,Explosions/Remote violence,100,50.6124,37.2397
05/25/2024,Russia,Explosions/Remote violence,143,50.6124,37.2397
06/01/2024,Russia,Explosions/Remote violence,231,50.6124,37.2397
06/08/2024,Russia,Explosions/Remote violence,180,50.6124,37.2397
06/15/2024,Russia,Explosions/Remote violence,171,50.6124,37.2397
06/22/2024,Russia,Explosions/Remote violence,178,50.6124,37.2397
06/29/2024,Russia,Explosions/Remote violence,165,50.6124,37.2397
07/06/2024,Russia,Explosions/Remote violence,211,50.6124,37.2397
07/13/2024,Russia,Explosions/Remote violence,188,50.6124,37.2397
07/20/2024,Russia,Explosions/Remote violence,227,50.6124,37.2397
07/27/2024,Russia,Explosions/Remote violence,214,50.6124,37.2397
08/03/2024,Russia,Explosions/Remote violence,196,50.6124,37.2397
08/10/2024,Russia,Explosions/Remote violence,167,50.6124,37.2397
08/17/2024,Russia,Explosions/Remote violence,227,50.6124,37.2397
08/24/2024,Russia,Explosions/Remote violence,192,50.6124,37.2397
08/31/2024,Russia,Explosions/Remote violence,132,50.6124,37.2397
09/07/2024,Russia,Explosions/Remote violence,174,50.6124,37.2397
09/14/2024,Russia,Explosions/Remote violence,142,50.6124,37.2397
09/21/2024,Russia,Explosions/Remote violence,199,50.6124,37.2397
09/28/2024,Russia,Explosions/Remote violence,221,50.6124,37.2397
10/05/2024,Russia,Explosions/Remote violence,205,50.6124,37.2397
10/12/2024,Russia,Explosions/Remote violence,117,50.6124,37.2397
10/19/2024,Russia,Explosions/Remote violence,137,50.6124,37.2397
10/26/2024,Russia,Explosions/Remote violence,159,50.6124,37.2397
11/02/2024,Russia,Explosions/Remote violence,74,50.6124,37.2397
11/09/2024,Russia,Explosions/Remote violence,118,50.6124,37.2397
11/16/2024,Russia,Explosions/Remote violence,149,50.6124,37.2397
11/23/2024,Russia,Explosions/Remote violence,113,50.6124,37.2397
11/30/2024,Russia,Explosions/Remote violence,118,50.6124,37.2397
12/07/2024,Russia,Explosions/Remote violence,85,50.6124,37.2397
12/14/2024,Russia,Explosions/Remote violence,158,50.6124,37.2397
12/21/2024,Russia,Explosions/Remote violence,110,50.6124,37.2397
12/28/2024,Russia,Explosions/Remote violence,137,50.6124,37.2397
01/04/2025,Russia,Explosions/Remote violence,137,50.6124,37.2397
01/11/2025,Russia,Explosions/Remote violence,154,50.6124,37.2397
01/18/2025,Russia,Explosions/Remote violence,157,50.6124,37.2397
01/25/2025,Russia,Explosions/Remote violence,147,50.6124,37.2397
02/01/2025,Russia,Explosions/Remote violence,185,50.6124,37.2397
02/08/2025,Russia,Explosions/Remote violence,270,50.6124,37.2397
02/15/2025,Russia,Explosions/Remote violence,201,50.6124,37.2397
02/22/2025,Russia,Explosions/Remote violence,195,50.6124,37.2397
03/01/2025,Russia,Explosions/Remote violence,179,50.6124,37.2397
03/08/2025,Russia,Explosions/Remote violence,282,50.6124,37.2397
03/15/2025,Russia,Explosions/Remote violence,241,50.6124,37.2397
03/22/2025,Russia,Explosions/Remote violence,179,50.6124,37.2397
03/29/2025,Russia,Explosions/Remote violence,179,50.6124,37.2397
04/05/2025,Russia,Explosions/Remote violence,211,50.6124,37.2397
04/12/2025,Russia,Explosions/Remote violence,271,50.6124,37.2397
04/19/2025,Russia,Explosions/Remote violence,268,50.6124,37.2397
04/26/2025,Russia,Explosions/Remote violence,238,50.6124,37.2397
05/03/2025,Russia,Explosions/Remote violence,255,50.6124,37.2397
05/10/2025,Russia,Explosions/Remote violence,266,50.6124,37.2397
05/17/2025,Russia,Explosions/Remote violence,286,50.6124,37.2397
05/24/2025,Russia,Explosions/Remote violence,232,50.6124,37.2397
05/31/2025,Russia,Explosions/Remote violence,291,50.6124,37.2397
06/07/2025,Russia,Explosions/Remote violence,260,50.6124,37.2397
06/14/2025,Russia,Explosions/Remote violence,206,50.6124,37.2397
06/21/2025,Russia,Explosions/Remote violence,222,50.6124,37.2397
06/28/2025,Russia,Explosions/Remote violence,220,50.6124,37.2397
07/05/2025,Russia,Explosions/Remote violence,285,50.6124,37.2397
07/12/2025,Russia,Explosions/Remote violence,295,50.6124,37.2397
07/19/2025,Russia,Explosions/Remote violence,276,50.6124,37.2397
07/26/2025,Russia,Explosions/Remote violence,290,50.6124,37.2397
08/02/2025,Russia,Explosions/Remote violence,304,50.6124,37.2397
08/09/2025,Russia,Explosions/Remote violence,310,50.6124,37.2397
08/16/2025,Russia,Explosions/Remote violence,298,50.6124,37.2397
08/23/2025,Russia,Explosions/Remote violence,281,50.6124,37.2397
08/30/2025,Russia,Explosions/Remote violence,283,50.6124,37.2397
09/06/2025,Russia,Explosions/Remote violence,266,50.6124,37.2397
09/13/2025,Russia,Explosions/Remote violence,298,50.6124,37.2397
09/20/2025,Russia,Explosions/Remote violence,344,50.6124,37.2397
09/27/2025,Russia,Explosions/Remote violence,269,50.6124,37.2397
10/04/2025,Russia,Explosions/Remote violence,254,50.6124,37.2397
10/11/2025,Russia,Explosions/Remote violence,336,50.6124,37.2397
07/02/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
08/13/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
10/15/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
11/19/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/15/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/22/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
05/13/2023,Russia,Explosions/Remote violence,2,50.6124,37.2397
08/05/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
08/12/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
12/09/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
12/16/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
12/30/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/27/2024,Russia,Explosions/Remote violence,1,50.6124,37.2397
05/18/2024,Russia,Explosions/Remote violence,1,50.6124,37.2397
07/06/2024,Russia,Explosions/Remote violence,1,50.6124,37.2397
07/20/2024,Russia,Explosions/Remote violence,2,50.6124,37.2397
09/07/2024,Russia,Explosions/Remote violence,3,50.6124,37.2397
09/21/2024,Russia,Explosions/Remote violence,1,50.6124,37.2397
10/12/2024,Russia,Explosions/Remote violence,1,50.6124,37.2397
10/19/2024,Russia,Explosions/Remote violence,1,50.6124,37.2397
10/26/2024,Russia,Explosions/Remote violence,2,50.6124,37.2397
11/02/2024,Russia,Explosions/Remote violence,1,50.6124,37.2397
11/09/2024,Russia,Explosions/Remote violence,3,50.6124,37.2397
01/18/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
02/01/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
03/08/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
03/15/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
03/22/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
03/29/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/05/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/12/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/19/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
05/03/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
05/24/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
05/31/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
06/14/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
07/05/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
08/16/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
08/23/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
09/20/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
09/27/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
10/04/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
03/26/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/09/2022,Russia,Explosions/Remote violence,2,50.6124,37.2397
04/16/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/23/2022,Russia,Explosions/Remote violence,4,50.6124,37.2397
04/30/2022,Russia,Explosions/Remote violence,3,50.6124,37.2397
05/07/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
05/14/2022,Russia,Explosions/Remote violence,3,50.6124,37.2397
05/21/2022,Russia,Explosions/Remote violence,3,50.6124,37.2397
05/28/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
06/04/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
07/02/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
07/09/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
07/16/2022,Russia,Explosions/Remote violence,2,50.6124,37.2397
07/23/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
08/13/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
08/27/2022,Russia,Explosions/Remote violence,2,50.6124,37.2397
09/10/2022,Russia,Explosions/Remote violence,7,50.6124,37.2397
09/17/2022,Russia,Explosions/Remote violence,3,50.6124,37.2397
09/24/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
10/01/2022,Russia,Explosions/Remote violence,4,50.6124,37.2397
10/08/2022,Russia,Explosions/Remote violence,14,50.6124,37.2397
10/15/2022,Russia,Explosions/Remote violence,11,50.6124,37.2397
10/22/2022,Russia,Explosions/Remote violence,6,50.6124,37.2397
10/29/2022,Russia,Explosions/Remote violence,7,50.6124,37.2397
11/05/2022,Russia,Explosions/Remote violence,2,50.6124,37.2397
11/12/2022,Russia,Explosions/Remote violence,11,50.6124,37.2397
11/19/2022,Russia,Explosions/Remote violence,6,50.6124,37.2397
11/26/2022,Russia,Explosions/Remote violence,9,50.6124,37.2397
12/03/2022,Russia,Explosions/Remote violence,5,50.6124,37.2397
12/10/2022,Russia,Explosions/Remote violence,5,50.6124,37.2397
12/17/2022,Russia,Explosions/Remote violence,6,50.6124,37.2397
12/31/2022,Russia,Explosions/Remote violence,3,50.6124,37.2397
01/07/2023,Russia,Explosions/Remote violence,5,50.6124,37.2397
01/14/2023,Russia,Explosions/Remote violence,11,50.6124,37.2397
01/21/2023,Russia,Explosions/Remote violence,2,50.6124,37.2397
01/28/2023,Russia,Explosions/Remote violence,4,50.6124,37.2397
02/04/2023,Russia,Explosions/Remote violence,6,50.6124,37.2397
02/11/2023,Russia,Explosions/Remote violence,7,50.6124,37.2397
02/18/2023,Russia,Explosions/Remote violence,9,50.6124,37.2397
02/25/2023,Russia,Explosions/Remote violence,5,50.6124,37.2397
03/04/2023,Russia,Explosions/Remote violence,6,50.6124,37.2397
03/11/2023,Russia,Explosions/Remote violence,8,50.6124,37.2397
03/18/2023,Russia,Explosions/Remote violence,2,50.6124,37.2397
03/25/2023,Russia,Explosions/Remote violence,2,50.6124,37.2397
04/01/2023,Russia,Explosions/Remote violence,6,50.6124,37.2397
04/08/2023,Russia,Explosions/Remote violence,5,50.6124,37.2397
04/15/2023,Russia,Explosions/Remote violence,7,50.6124,37.2397
04/22/2023,Russia,Explosions/Remote violence,9,50.6124,37.2397
04/29/2023,Russia,Explosions/Remote violence,3,50.6124,37.2397
05/06/2023,Russia,Explosions/Remote violence,16,50.6124,37.2397
05/13/2023,Russia,Explosions/Remote violence,7,50.6124,37.2397
05/20/2023,Russia,Explosions/Remote violence,63,50.6124,37.2397
05/27/2023,Russia,Explosions/Remote violence,96,50.6124,37.2397
06/03/2023,Russia,Explosions/Remote violence,79,50.6124,37.2397
06/10/2023,Russia,Explosions/Remote violence,36,50.6124,37.2397
06/17/2023,Russia,Explosions/Remote violence,50,50.6124,37.2397
06/24/2023,Russia,Explosions/Remote violence,34,50.6124,37.2397
07/01/2023,Russia,Explosions/Remote violence,50,50.6124,37.2397
07/08/2023,Russia,Explosions/Remote violence,34,50.6124,37.2397
07/15/2023,Russia,Explosions/Remote violence,68,50.6124,37.2397
07/22/2023,Russia,Explosions/Remote violence,50,50.6124,37.2397
07/29/2023,Russia,Explosions/Remote violence,88,50.6124,37.2397
08/05/2023,Russia,Explosions/Remote violence,38,50.6124,37.2397
08/12/2023,Russia,Explosions/Remote violence,48,50.6124,37.2397
08/19/2023,Russia,Explosions/Remote violence,72,50.6124,37.2397
08/26/2023,Russia,Explosions/Remote violence,11,50.6124,37.2397
09/02/2023,Russia,Explosions/Remote violence,69,50.6124,37.2397
09/09/2023,Russia,Explosions/Remote violence,89,50.6124,37.2397
09/16/2023,Russia,Explosions/Remote violence,96,50.6124,37.2397
09/23/2023,Russia,Explosions/Remote violence,86,50.6124,37.2397
09/30/2023,Russia,Explosions/Remote violence,61,50.6124,37.2397
10/07/2023,Russia,Explosions/Remote violence,40,50.6124,37.2397
10/14/2023,Russia,Explosions/Remote violence,54,50.6124,37.2397
10/21/2023,Russia,Explosions/Remote violence,48,50.6124,37.2397
10/28/2023,Russia,Explosions/Remote violence,50,50.6124,37.2397
11/04/2023,Russia,Explosions/Remote violence,44,50.6124,37.2397
11/11/2023,Russia,Explosions/Remote violence,47,50.6124,37.2397
11/18/2023,Russia,Explosions/Remote violence,20,50.6124,37.2397
11/25/2023,Russia,Explosions/Remote violence,36,50.6124,37.2397
12/02/2023,Russia,Explosions/Remote violence,53,50.6124,37.2397
12/09/2023,Russia,Explosions/Remote violence,51,50.6124,37.2397
12/16/2023,Russia,Explosions/Remote violence,57,50.6124,37.2397
12/23/2023,Russia,Explosions/Remote violence,68,50.6124,37.2397
12/30/2023,Russia,Explosions/Remote violence,75,50.6124,37.2397
01/06/2024,Russia,Explosions/Remote violence,63,50.6124,37.2397
01/13/2024,Russia,Explosions/Remote violence,58,50.6124,37.2397
01/20/2024,Russia,Explosions/Remote violence,46,50.6124,37.2397
01/27/2024,Russia,Explosions/Remote violence,39,50.6124,37.2397
02/03/2024,Russia,Explosions/Remote violence,57,50.6124,37.2397
02/10/2024,Russia,Explosions/Remote violence,50,50.6124,37.2397
02/17/2024,Russia,Explosions/Remote violence,41,50.6124,37.2397
02/24/2024,Russia,Explosions/Remote violence,60,50.6124,37.2397
03/02/2024,Russia,Explosions/Remote violence,48,50.6124,37.2397
03/09/2024,Russia,Explosions/Remote violence,103,50.6124,37.2397
03/16/2024,Russia,Explosions/Remote violence,140,50.6124,37.2397
03/23/2024,Russia,Explosions/Remote violence,113,50.6124,37.2397
03/30/2024,Russia,Explosions/Remote violence,105,50.6124,37.2397
04/06/2024,Russia,Explosions/Remote violence,69,50.6124,37.2397
04/13/2024,Russia,Explosions/Remote violence,49,50.6124,37.2397
04/20/2024,Russia,Explosions/Remote violence,60,50.6124,37.2397
04/27/2024,Russia,Explosions/Remote violence,53,50.6124,37.2397
05/04/2024,Russia,Explosions/Remote violence,77,50.6124,37.2397
05/11/2024,Russia,Explosions/Remote violence,152,50.6124,37.2397
05/18/2024,Russia,Explosions/Remote violence,113,50.6124,37.2397
05/25/2024,Russia,Explosions/Remote violence,103,50.6124,37.2397
06/01/2024,Russia,Explosions/Remote violence,20,50.6124,37.2397
06/08/2024,Russia,Explosions/Remote violence,24,50.6124,37.2397
06/15/2024,Russia,Explosions/Remote violence,13,50.6124,37.2397
06/22/2024,Russia,Explosions/Remote violence,24,50.6124,37.2397
06/29/2024,Russia,Explosions/Remote violence,34,50.6124,37.2397
07/06/2024,Russia,Explosions/Remote violence,1,50.6124,37.2397
07/13/2024,Russia,Explosions/Remote violence,9,50.6124,37.2397
07/20/2024,Russia,Explosions/Remote violence,3,50.6124,37.2397
07/27/2024,Russia,Explosions/Remote violence,8,50.6124,37.2397
08/03/2024,Russia,Explosions/Remote violence,25,50.6124,37.2397
08/10/2024,Russia,Explosions/Remote violence,32,50.6124,37.2397
08/17/2024,Russia,Explosions/Remote violence,27,50.6124,37.2397
08/24/2024,Russia,Explosions/Remote violence,24,50.6124,37.2397
08/31/2024,Russia,Explosions/Remote violence,26,50.6124,37.2397
09/07/2024,Russia,Explosions/Remote violence,10,50.6124,37.2397
09/14/2024,Russia,Explosions/Remote violence,33,50.6124,37.2397
09/21/2024,Russia,Explosions/Remote violence,24,50.6124,37.2397
09/28/2024,Russia,Explosions/Remote violence,18,50.6124,37.2397
10/05/2024,Russia,Explosions/Remote violence,7,50.6124,37.2397
10/12/2024,Russia,Explosions/Remote violence,15,50.6124,37.2397
10/19/2024,Russia,Explosions/Remote violence,23,50.6124,37.2397
10/26/2024,Russia,Explosions/Remote violence,10,50.6124,37.2397
11/02/2024,Russia,Explosions/Remote violence,26,50.6124,37.2397
11/09/2024,Russia,Explosions/Remote violence,12,50.6124,37.2397
11/16/2024,Russia,Explosions/Remote violence,16,50.6124,37.2397
11/23/2024,Russia,Explosions/Remote violence,16,50.6124,37.2397
11/30/2024,Russia,Explosions/Remote violence,6,50.6124,37.2397
12/07/2024,Russia,Explosions/Remote violence,23,50.6124,37.2397
12/14/2024,Russia,Explosions/Remote violence,8,50.6124,37.2397
12/21/2024,Russia,Explosions/Remote violence,13,50.6124,37.2397
12/28/2024,Russia,Explosions/Remote violence,14,50.6124,37.2397
01/04/2025,Russia,Explosions/Remote violence,11,50.6124,37.2397
01/11/2025,Russia,Explosions/Remote violence,26,50.6124,37.2397
01/18/2025,Russia,Explosions/Remote violence,19,50.6124,37.2397
01/25/2025,Russia,Explosions/Remote violence,13,50.6124,37.2397
02/01/2025,Russia,Explosions/Remote violence,6,50.6124,37.2397
02/08/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
02/15/2025,Russia,Explosions/Remote violence,11,50.6124,37.2397
02/22/2025,Russia,Explosions/Remote violence,7,50.6124,37.2397
03/01/2025,Russia,Explosions/Remote violence,6,50.6124,37.2397
03/08/2025,Russia,Explosions/Remote violence,4,50.6124,37.2397
03/15/2025,Russia,Explosions/Remote violence,13,50.6124,37.2397
03/22/2025,Russia,Explosions/Remote violence,9,50.6124,37.2397
03/29/2025,Russia,Explosions/Remote violence,4,50.6124,37.2397
04/05/2025,Russia,Explosions/Remote violence,5,50.6124,37.2397
04/19/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/26/2025,Russia,Explosions/Remote violence,3,50.6124,37.2397
05/03/2025,Russia,Explosions/Remote violence,5,50.6124,37.2397
05/10/2025,Russia,Explosions/Remote violence,4,50.6124,37.2397
05/17/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
05/24/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
05/31/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
06/07/2025,Russia,Explosions/Remote violence,6,50.6124,37.2397
06/14/2025,Russia,Explosions/Remote violence,7,50.6124,37.2397
06/21/2025,Russia,Explosions/Remote violence,3,50.6124,37.2397
06/28/2025,Russia,Explosions/Remote violence,6,50.6124,37.2397
07/05/2025,Russia,Explosions/Remote violence,6,50.6124,37.2397
07/12/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
07/19/2025,Russia,Explosions/Remote violence,4,50.6124,37.2397
07/26/2025,Russia,Explosions/Remote violence,5,50.6124,37.2397
08/02/2025,Russia,Explosions/Remote violence,5,50.6124,37.2397
08/09/2025,Russia,Explosions/Remote violence,6,50.6124,37.2397
08/16/2025,Russia,Explosions/Remote violence,3,50.6124,37.2397
08/23/2025,Russia,Explosions/Remote violence,5,50.6124,37.2397
08/30/2025,Russia,Explosions/Remote violence,3,50.6124,37.2397
09/06/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
09/20/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
09/27/2025,Russia,Explosions/Remote violence,3,50.6124,37.2397
10/04/2025,Russia,Explosions/Remote violence,7,50.6124,37.2397
07/28/2018,Russia,Riots,1,50.6124,37.2397
01/21/2023,Russia,Violence against civilians,1,50.6124,37.2397
09/21/2024,Russia,Violence against civilians,1,50.6124,37.2397
08/25/2018,Russia,Violence against civilians,1,50.6124,37.2397
01/12/2019,Russia,Violence against civilians,1,50.6124,37.2397
10/10/2020,Russia,Violence against civilians,1,50.6124,37.2397
04/17/2021,Russia,Violence against civilians,1,50.6124,37.2397
05/22/2021,Russia,Violence against civilians,1,50.6124,37.2397
03/12/2022,Russia,Violence against civilians,1,50.6124,37.2397
12/31/2022,Russia,Violence against civilians,1,50.6124,37.2397
09/16/2023,Russia,Violence against civilians,1,50.6124,37.2397
11/11/2023,Russia,Violence against civilians,1,50.6124,37.2397
06/08/2024,Russia,Violence against civilians,1,50.6124,37.2397
07/06/2024,Russia,Violence against civilians,1,50.6124,37.2397
07/20/2024,Russia,Violence against civilians,2,50.6124,37.2397
08/10/2024,Russia,Violence against civilians,1,50.6124,37.2397
08/24/2024,Russia,Violence against civilians,1,50.6124,37.2397
08/31/2024,Russia,Violence against civilians,1,50.6124,37.2397
09/14/2024,Russia,Violence against civilians,1,50.6124,37.2397
02/15/2025,Russia,Violence against civilians,1,50.6124,37.2397
